                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.99564,                0.52137,                0.84183,                0.94721,                0.74262,                0.79259,                0.60601,                 1.0378,                0.57222,                0.86064,                0.00241,                0.00241,                0.00241
                    117,                0.98454,                0.51956,                0.84201,                0.93934,                0.74778,                0.79522,                0.60699,                 1.0362,                0.57355,                0.86045,               0.002344,               0.002344,               0.002344
                    118,                0.98546,                0.51773,                0.84092,                0.92512,                0.75311,                0.80025,                0.61161,                 1.0313,                0.56838,                0.85717,               0.002278,               0.002278,               0.002278
                    119,                0.98808,                0.52006,                0.84007,                0.93386,                0.74212,                0.79392,                0.60707,                 1.0422,                0.57275,                0.85826,               0.002212,               0.002212,               0.002212
                    120,                 0.9774,                0.51401,                  0.841,                0.93142,                0.75568,                0.79595,                  0.608,                 1.0345,                0.56965,                0.86001,               0.002146,               0.002146,               0.002146
                    121,                 0.9773,                0.51532,                0.84102,                0.93974,                0.73605,                0.79672,                0.60485,                 1.0384,                0.57348,                0.85935,                0.00208,                0.00208,                0.00208
                    122,                 1.0005,                0.52316,                0.84053,                0.92299,                0.74884,                0.80524,                0.62291,                  1.033,                0.56783,                0.85966,               0.002014,               0.002014,               0.002014
                    123,                0.98314,                0.51377,                0.83962,                0.94086,                0.74414,                 0.8038,                0.61428,                 1.0292,                0.56776,                0.85812,               0.001948,               0.001948,               0.001948
                    124,                0.97782,                0.51253,                0.83962,                0.93646,                0.74842,                0.81629,                0.63367,                  1.027,                0.56527,                0.85806,               0.001882,               0.001882,               0.001882
                    125,                 0.9673,                0.51256,                 0.8391,                0.94341,                 0.7439,                0.81428,                0.62325,                 1.0362,                0.56655,                  0.859,               0.001816,               0.001816,               0.001816
                    126,                0.98564,                0.51042,                0.83807,                 0.9464,                0.74331,                0.82619,                0.63457,                 1.0208,                0.56471,                0.85694,                0.00175,                0.00175,                0.00175
                    127,                 0.9785,                0.51185,                0.83763,                0.94193,                0.74562,                0.81105,                0.62489,                 1.0246,                0.56714,                0.85722,               0.001684,               0.001684,               0.001684
                    128,                0.96772,                0.50873,                0.83703,                0.94247,                0.75357,                0.81524,                0.63009,                 1.0189,                0.56545,                0.85606,               0.001618,               0.001618,               0.001618
                    129,                 0.9551,                 0.5009,                0.83744,                0.93881,                0.75417,                0.81783,                0.63176,                 1.0182,                0.56148,                0.85571,               0.001552,               0.001552,               0.001552
                    130,                0.95459,                0.50097,                 0.8358,                 0.9414,                0.75102,                0.81749,                0.62682,                  1.018,                0.56204,                0.85561,               0.001486,               0.001486,               0.001486
